Time (s), Node Label, Z Position (m), NT (K)
1.0,641,-2510.787353515625,288.04400634765625
1.0,642,-2511.9677734375,288.0690002441406
1.0,643,-2513.16796875,288.0950012207031
1.0,644,-2514.38818359375,288.1210021972656
1.0,645,-2515.62890625,288.1470031738281
1.0,646,-2516.89013671875,288.17401123046875
1.0,647,-2518.1728515625,288.2019958496094
1.0,648,-2519.476806640625,288.22900390625
1.0,649,-2520.802490234375,288.25799560546875
1.0,650,-2522.150390625,288.2860107421875
1.0,651,-2523.52099609375,288.3160095214844
1.0,652,-2524.914306640625,288.3450012207031
1.0,653,-2526.3310546875,288.3760070800781
1.0,654,-2527.771484375,288.406005859375
1.0,655,-2529.236083984375,288.43701171875
1.0,656,-2530.72509765625,288.468994140625
1.0,657,-2532.239013671875,288.5010070800781
1.0,658,-2533.7783203125,288.53399658203125
1.0,659,-2535.34326171875,288.5679931640625
1.0,660,-2536.934326171875,288.60198974609375
1.0,661,-2538.55224609375,288.635986328125
1.0,662,-2540.197021484375,288.6709899902344
1.0,663,-2541.869384765625,288.7070007324219
1.0,664,-2543.56982421875,288.7430114746094
1.0,665,-2545.298583984375,288.7799987792969
1.0,666,-2547.05615234375,288.8169860839844
1.0,667,-2548.84326171875,288.8550109863281
1.0,668,-2550.66015625,288.8940124511719
1.0,669,-2552.507568359375,288.9330139160156
1.0,670,-2554.385986328125,288.9739990234375
1.0,671,-2556.295654296875,289.0140075683594
1.0,672,-2558.2373046875,289.0559997558594
1.0,673,-2560.21142578125,289.0979919433594
1.0,674,-2562.218505859375,289.1400146484375
1.0,675,-2564.259033203125,289.1839904785156
1.0,676,-2566.333984375,289.2279968261719
1.0,677,-2568.443603515625,289.27301025390625
1.0,678,-2570.58837890625,289.3190002441406
1.0,679,-2572.76904296875,289.364990234375
1.0,680,-2574.986083984375,289.4129943847656
1.0,681,-2577.240478515625,289.46099853515625
1.0,682,-2579.532470703125,289.510009765625
1.0,683,-2581.86279296875,289.5589904785156
1.0,684,-2584.23193359375,289.6099853515625
1.0,685,-2586.640869140625,289.6610107421875
1.0,686,-2589.090087890625,289.7130126953125
1.0,687,-2591.580322265625,289.7659912109375
1.0,688,-2594.112060546875,289.82000732421875
1.0,689,-2596.686279296875,289.875
1.0,690,-2599.303466796875,289.9309997558594
1.0,691,-2601.964599609375,289.9880065917969
1.0,692,-2604.670166015625,290.0450134277344
1.0,693,-2607.4208984375,290.10400390625
1.0,694,-2610.217529296875,290.16400146484375
1.0,695,-2613.061279296875,290.2239990234375
1.0,696,-2615.952392578125,290.2860107421875
1.0,697,-2618.891845703125,290.3479919433594
1.0,698,-2621.88037109375,290.4119873046875
1.0,699,-2624.9189453125,290.47698974609375
1.0,700,-2628.008544921875,290.5429992675781
